hotelid,roomamenities,roomtype
3,"Free toiletries, Shower, Hand Towel, Bathroom, High floor, Umbrella, Wooden/parqueted flooring, Mosquito net, Desk, Towels,",President Suite
3,"Free toiletries, Shower, Hand Towel, Bathroom, High floor, Umbrella, Wooden/parqueted flooring, Mosquito net, Desk, Towels,",President Suite
4,"Free toiletries, Shower, Hand Towel, Bathroom, Full kitchen, Mosquito net, Air purifier, Wi-Fi [free], Internet access – wireless, Bathrobes, High floor, Daily newspaper, Extra long bed,",Queen Bed Room
4,"Free toiletries, Shower, Hand Towel, Bathroom, Full kitchen, Mosquito net, Air purifier, Wi-Fi [free], Internet access – wireless, Bathrobes, High floor, Daily newspaper, Extra long bed,",Queen Bed Room
4,"Free toiletries, Shower, Hand Towel, Bathroom, Full kitchen, Mosquito net, Air purifier, Wi-Fi [free], Internet access – wireless, Bathrobes, High floor, Daily newspaper, Extra long bed,",Queen Bed Room
4,"Free toiletries, Shower, Hand Towel, Bathroom, Full kitchen, Mosquito net, Air purifier, Wi-Fi [free], Internet access – wireless, Bathrobes, High floor, Daily newspaper, Extra long bed,",Queen Bed Room
4,"Free toiletries, Shower, Hand Towel, Bathroom, Full kitchen, Mosquito net, Air purifier, Wi-Fi [free], Internet access – wireless, Bathrobes, High floor, Daily newspaper, Extra long bed,",Queen Bed Room
4,"Free toiletries, Shower, Hand Towel, Bathroom, Whirlpool bathtub, Air conditioning, Linens, Sewing kit, Laptop workspace, Daily housekeeping,",Apartments
4,"Free toiletries, Shower, Hand Towel, Bathroom, Whirlpool bathtub, Air conditioning, Linens, Sewing kit, Laptop workspace, Daily housekeeping,",Apartments
4,"Free toiletries, Shower, Hand Towel, Bathroom, Whirlpool bathtub, Air conditioning, Linens, Sewing kit, Laptop workspace, Daily housekeeping,",Apartments
4,"Free toiletries, Shower, Hand Towel, Bathroom, Whirlpool bathtub, Air conditioning, Linens, Sewing kit, Laptop workspace, Daily housekeeping,",Apartments
4,"Free toiletries, Shower, Hand Towel, Bathroom, Whirlpool bathtub, Air conditioning, Linens, Sewing kit, Laptop workspace, Daily housekeeping,",Apartments
4,"Free toiletries, Shower, Hand Towel, Bathroom, Hot tub, Refrigerator, Cleaning products, High Speed Wireless Internet (wifi), Locker, Air purifier, Mirror, Separate living room, On-demand movies, Scale,",Duplex Room
4,"Free toiletries, Shower, Hand Towel, Bathroom, Hot tub, Refrigerator, Cleaning products, High Speed Wireless Internet (wifi), Locker, Air purifier, Mirror, Separate living room, On-demand movies, Scale,",Duplex Room
4,"Free toiletries, Shower, Hand Towel, Bathroom, Hot tub, Refrigerator, Cleaning products, High Speed Wireless Internet (wifi), Locker, Air purifier, Mirror, Separate living room, On-demand movies, Scale,",Duplex Room
4,"Free toiletries, Shower, Hand Towel, Bathroom, Hot tub, Refrigerator, Cleaning products, High Speed Wireless Internet (wifi), Locker, Air purifier, Mirror, Separate living room, On-demand movies, Scale,",Duplex Room
4,"Free toiletries, Shower, Hand Towel, Bathroom, Hot tub, Refrigerator, Cleaning products, High Speed Wireless Internet (wifi), Locker, Air purifier, Mirror, Separate living room, On-demand movies, Scale,",Duplex Room
5,"Free toiletries, Shower, Hand Towel, Bathroom, Whirlpool bathtub, Carbon monoxide detector, Wardrobe or closet, Kitchenware, High chair, TV, Interconnecting room(s) available, Separate dining area,",Hollywood Twin Room
5,"Free toiletries, Shower, Hand Towel, Bathroom, Whirlpool bathtub, Carbon monoxide detector, Wardrobe or closet, Kitchenware, High chair, TV, Interconnecting room(s) available, Separate dining area,",Hollywood Twin Room
5,"Free toiletries, Shower, Hand Towel, Bathroom, Whirlpool bathtub, Carbon monoxide detector, Wardrobe or closet, Kitchenware, High chair, TV, Interconnecting room(s) available, Separate dining area,",Hollywood Twin Room
5,"Free toiletries, Shower, Hand Towel, Bathroom, Whirlpool bathtub, Carbon monoxide detector, Wardrobe or closet, Kitchenware, High chair, TV, Interconnecting room(s) available, Separate dining area,",Hollywood Twin Room
5,"Free toiletries, Shower, Hand Towel, Bathroom, Whirlpool bathtub, Carbon monoxide detector, Wardrobe or closet, Kitchenware, High chair, TV, Interconnecting room(s) available, Separate dining area,",Hollywood Twin Room
5,"Free toiletries, Shower, Hand Towel, Bathroom, Hot tub, Bathrobes, Toiletries, Mini bar, Bathroom phone, Fire extinguisher, Sofa, Satellite/cable channels, Daily newspaper, Free bottled water,",Triple Room
5,"Free toiletries, Shower, Hand Towel, Bathroom, Hot tub, Bathrobes, Toiletries, Mini bar, Bathroom phone, Fire extinguisher, Sofa, Satellite/cable channels, Daily newspaper, Free bottled water,",Triple Room
5,"Free toiletries, Shower, Hand Towel, Bathroom, Hot tub, Bathrobes, Toiletries, Mini bar, Bathroom phone, Fire extinguisher, Sofa, Satellite/cable channels, Daily newspaper, Free bottled water,",Triple Room
5,"Free toiletries, Shower, Hand Towel, Bathroom, Hot tub, Bathrobes, Toiletries, Mini bar, Bathroom phone, Fire extinguisher, Sofa, Satellite/cable channels, Daily newspaper, Free bottled water,",Triple Room
5,"Free toiletries, Shower, Hand Towel, Bathroom, Hot tub, Bathrobes, Toiletries, Mini bar, Bathroom phone, Fire extinguisher, Sofa, Satellite/cable channels, Daily newspaper, Free bottled water,",Triple Room
5,"Free toiletries, Shower, Hand Towel, Bathroom, Bathrobes, Free bottled water, Coffee/tea maker, Wi-Fi [free], Private entrance, Free instant coffee, Ironing facilities,",Suite
5,"Free toiletries, Shower, Hand Towel, Bathroom, Bathrobes, Free bottled water, Coffee/tea maker, Wi-Fi [free], Private entrance, Free instant coffee, Ironing facilities,",Suite
5,"Free toiletries, Shower, Hand Towel, Bathroom, Bathrobes, Free bottled water, Coffee/tea maker, Wi-Fi [free], Private entrance, Free instant coffee, Ironing facilities,",Suite
5,"Free toiletries, Shower, Hand Towel, Bathroom, Bathrobes, Free bottled water, Coffee/tea maker, Wi-Fi [free], Private entrance, Free instant coffee, Ironing facilities,",Suite
5,"Free toiletries, Shower, Hand Towel, Bathroom, Bathrobes, Free bottled water, Coffee/tea maker, Wi-Fi [free], Private entrance, Free instant coffee, Ironing facilities,",Suite
5,"Free toiletries, Shower, Hand Towel, Bathroom, Wi-Fi [free], Closet, Air conditioning, Blackout curtains, Free bottled water, Trouser press, Daily housekeeping,",Single Room
5,"Free toiletries, Shower, Hand Towel, Bathroom, Wi-Fi [free], Closet, Air conditioning, Blackout curtains, Free bottled water, Trouser press, Daily housekeeping,",Single Room
5,"Free toiletries, Shower, Hand Towel, Bathroom, Wi-Fi [free], Closet, Air conditioning, Blackout curtains, Free bottled water, Trouser press, Daily housekeeping,",Single Room
5,"Free toiletries, Shower, Hand Towel, Bathroom, Wi-Fi [free], Closet, Air conditioning, Blackout curtains, Free bottled water, Trouser press, Daily housekeeping,",Single Room
5,"Free toiletries, Shower, Hand Towel, Bathroom, Wi-Fi [free], Closet, Air conditioning, Blackout curtains, Free bottled water, Trouser press, Daily housekeeping,",Single Room
5,"Free toiletries, Shower, Hand Towel, Bathroom, Whirlpool bathtub, Carbon monoxide detector, Wardrobe or closet, Kitchenware, High chair, TV, Interconnecting room(s) available, Separate dining area,",Hollywood Twin Room
5,"Free toiletries, Shower, Hand Towel, Bathroom, Whirlpool bathtub, Carbon monoxide detector, Wardrobe or closet, Kitchenware, High chair, TV, Interconnecting room(s) available, Separate dining area,",Hollywood Twin Room
5,"Free toiletries, Shower, Hand Towel, Bathroom, Whirlpool bathtub, Carbon monoxide detector, Wardrobe or closet, Kitchenware, High chair, TV, Interconnecting room(s) available, Separate dining area,",Hollywood Twin Room
5,"Free toiletries, Shower, Hand Towel, Bathroom, Whirlpool bathtub, Carbon monoxide detector, Wardrobe or closet, Kitchenware, High chair, TV, Interconnecting room(s) available, Separate dining area,",Hollywood Twin Room
5,"Free toiletries, Shower, Hand Towel, Bathroom, Whirlpool bathtub, Carbon monoxide detector, Wardrobe or closet, Kitchenware, High chair, TV, Interconnecting room(s) available, Separate dining area,",Hollywood Twin Room
6,"Free toiletries, Shower, Hand Towel, Bathroom, Blackout curtains, Smoke detector, Dart board, Shoeshine kit, DVD/CD player, Wi-Fi [charges apply], Desk, Telephone, Clothes rack,",Queen Bed Room
6,"Free toiletries, Shower, Hand Towel, Bathroom, Blackout curtains, Smoke detector, Dart board, Shoeshine kit, DVD/CD player, Wi-Fi [charges apply], Desk, Telephone, Clothes rack,",Queen Bed Room
6,"Free toiletries, Shower, Hand Towel, Bathroom, Blackout curtains, Smoke detector, Dart board, Shoeshine kit, DVD/CD player, Wi-Fi [charges apply], Desk, Telephone, Clothes rack,",Queen Bed Room
6,"Free toiletries, Shower, Hand Towel, Bathroom, Blackout curtains, Smoke detector, Dart board, Shoeshine kit, DVD/CD player, Wi-Fi [charges apply], Desk, Telephone, Clothes rack,",Queen Bed Room
6,"Free toiletries, Shower, Hand Towel, Bathroom, Blackout curtains, Smoke detector, Dart board, Shoeshine kit, DVD/CD player, Wi-Fi [charges apply], Desk, Telephone, Clothes rack,",Queen Bed Room
6,"Free toiletries, Shower, Hand Towel, Bathroom, Seating area, Refrigerator, Umbrella, Toiletries, Kitchen, Wi-Fi [charges apply], Wardrobe or closet,",Twin Double Room
6,"Free toiletries, Shower, Hand Towel, Bathroom, Seating area, Refrigerator, Umbrella, Toiletries, Kitchen, Wi-Fi [charges apply], Wardrobe or closet,",Twin Double Room
6,"Free toiletries, Shower, Hand Towel, Bathroom, Seating area, Refrigerator, Umbrella, Toiletries, Kitchen, Wi-Fi [charges apply], Wardrobe or closet,",Twin Double Room
6,"Free toiletries, Shower, Hand Towel, Bathroom, Seating area, Refrigerator, Umbrella, Toiletries, Kitchen, Wi-Fi [charges apply], Wardrobe or closet,",Twin Double Room
6,"Free toiletries, Shower, Hand Towel, Bathroom, Seating area, Refrigerator, Umbrella, Toiletries, Kitchen, Wi-Fi [charges apply], Wardrobe or closet,",Twin Double Room
6,"Free toiletries, Shower, Hand Towel, Bathroom, Sewing kit, Air conditioning, Electric blanket, Blackout curtains, Linens, Telephone, Scale,",Lanai
6,"Free toiletries, Shower, Hand Towel, Bathroom, Sewing kit, Air conditioning, Electric blanket, Blackout curtains, Linens, Telephone, Scale,",Lanai
6,"Free toiletries, Shower, Hand Towel, Bathroom, Sewing kit, Air conditioning, Electric blanket, Blackout curtains, Linens, Telephone, Scale,",Lanai
6,"Free toiletries, Shower, Hand Towel, Bathroom, Sewing kit, Air conditioning, Electric blanket, Blackout curtains, Linens, Telephone, Scale,",Lanai
6,"Free toiletries, Shower, Hand Towel, Bathroom, Sewing kit, Air conditioning, Electric blanket, Blackout curtains, Linens, Telephone, Scale,",Lanai
7,"Free toiletries, Shower, Hand Towel, Bathroom, High floor, Whirlpool bathtub, Slippers, Dressing room, Umbrella, Washing machine, Laptop safe box,",Quad Room
7,"Free toiletries, Shower, Hand Towel, Bathroom, High floor, Whirlpool bathtub, Slippers, Dressing room, Umbrella, Washing machine, Laptop safe box,",Quad Room
7,"Free toiletries, Shower, Hand Towel, Bathroom, High floor, Whirlpool bathtub, Slippers, Dressing room, Umbrella, Washing machine, Laptop safe box,",Quad Room
7,"Free toiletries, Shower, Hand Towel, Bathroom, High floor, Whirlpool bathtub, Slippers, Dressing room, Umbrella, Washing machine, Laptop safe box,",Quad Room
7,"Free toiletries, Shower, Hand Towel, Bathroom, High floor, Whirlpool bathtub, Slippers, Dressing room, Umbrella, Washing machine, Laptop safe box,",Quad Room
7,"Free toiletries, Shower, Hand Towel, Bathroom, Air purifier, Hot tub, Shoeshine kit, Toiletries, Video game console, Washing machine, Carpeting, High floor,",Apartments
7,"Free toiletries, Shower, Hand Towel, Bathroom, Air purifier, Hot tub, Shoeshine kit, Toiletries, Video game console, Washing machine, Carpeting, High floor,",Apartments
7,"Free toiletries, Shower, Hand Towel, Bathroom, Air purifier, Hot tub, Shoeshine kit, Toiletries, Video game console, Washing machine, Carpeting, High floor,",Apartments
7,"Free toiletries, Shower, Hand Towel, Bathroom, Air purifier, Hot tub, Shoeshine kit, Toiletries, Video game console, Washing machine, Carpeting, High floor,",Apartments
7,"Free toiletries, Shower, Hand Towel, Bathroom, Air purifier, Hot tub, Shoeshine kit, Toiletries, Video game console, Washing machine, Carpeting, High floor,",Apartments
7,"Free toiletries, Shower, Hand Towel, Bathroom, Wardrobe or closet, Mini bar, Clothes rack, Wooden/parqueted flooring, Free welcome drink, Heating,",President Suite
7,"Free toiletries, Shower, Hand Towel, Bathroom, Wardrobe or closet, Mini bar, Clothes rack, Wooden/parqueted flooring, Free welcome drink, Heating,",President Suite
7,"Free toiletries, Shower, Hand Towel, Bathroom, Wardrobe or closet, Mini bar, Clothes rack, Wooden/parqueted flooring, Free welcome drink, Heating,",President Suite
7,"Free toiletries, Shower, Hand Towel, Bathroom, Wardrobe or closet, Mini bar, Clothes rack, Wooden/parqueted flooring, Free welcome drink, Heating,",President Suite
7,"Free toiletries, Shower, Hand Towel, Bathroom, Wardrobe or closet, Mini bar, Clothes rack, Wooden/parqueted flooring, Free welcome drink, Heating,",President Suite
8,"Free toiletries, Shower, Hand Towel, Bathroom, Bathrobes, Daily housekeeping, Trouser press, Carbon monoxide detector, Slippers, Kitchenware, Full kitchen, Wi-Fi [charges apply],",Quad Room
8,"Free toiletries, Shower, Hand Towel, Bathroom, Bathrobes, Daily housekeeping, Trouser press, Carbon monoxide detector, Slippers, Kitchenware, Full kitchen, Wi-Fi [charges apply],",Quad Room
8,"Free toiletries, Shower, Hand Towel, Bathroom, Bathrobes, Daily housekeeping, Trouser press, Carbon monoxide detector, Slippers, Kitchenware, Full kitchen, Wi-Fi [charges apply],",Quad Room
8,"Free toiletries, Shower, Hand Towel, Bathroom, Bathrobes, Daily housekeeping, Trouser press, Carbon monoxide detector, Slippers, Kitchenware, Full kitchen, Wi-Fi [charges apply],",Quad Room
8,"Free toiletries, Shower, Hand Towel, Bathroom, Bathrobes, Daily housekeeping, Trouser press, Carbon monoxide detector, Slippers, Kitchenware, Full kitchen, Wi-Fi [charges apply],",Quad Room
8,"Free toiletries, Shower, Hand Towel, Bathroom, Interconnecting room(s) available, Desk, Towels, Free Wi-Fi in all rooms!, High chair, Additional toilet, Air conditioning, Video game console,",Apartments
8,"Free toiletries, Shower, Hand Towel, Bathroom, Interconnecting room(s) available, Desk, Towels, Free Wi-Fi in all rooms!, High chair, Additional toilet, Air conditioning, Video game console,",Apartments
8,"Free toiletries, Shower, Hand Towel, Bathroom, Interconnecting room(s) available, Desk, Towels, Free Wi-Fi in all rooms!, High chair, Additional toilet, Air conditioning, Video game console,",Apartments
8,"Free toiletries, Shower, Hand Towel, Bathroom, Interconnecting room(s) available, Desk, Towels, Free Wi-Fi in all rooms!, High chair, Additional toilet, Air conditioning, Video game console,",Apartments
8,"Free toiletries, Shower, Hand Towel, Bathroom, Interconnecting room(s) available, Desk, Towels, Free Wi-Fi in all rooms!, High chair, Additional toilet, Air conditioning, Video game console,",Apartments
8,"Free toiletries, Shower, Hand Towel, Bathroom, Fan, Shoeshine kit, Microwave, Hot tub, Additional toilet, Umbrella,",Double Room
8,"Free toiletries, Shower, Hand Towel, Bathroom, Fan, Shoeshine kit, Microwave, Hot tub, Additional toilet, Umbrella,",Double Room
8,"Free toiletries, Shower, Hand Towel, Bathroom, Fan, Shoeshine kit, Microwave, Hot tub, Additional toilet, Umbrella,",Double Room
8,"Free toiletries, Shower, Hand Towel, Bathroom, Fan, Shoeshine kit, Microwave, Hot tub, Additional toilet, Umbrella,",Double Room
8,"Free toiletries, Shower, Hand Towel, Bathroom, Fan, Shoeshine kit, Microwave, Hot tub, Additional toilet, Umbrella,",Double Room
9,"Free toiletries, Shower, Hand Towel, Bathroom, Seating area, Linens, Shoeshine kit, Complimentary tea, Cleaning products, iPod docking station, Desk, Alarm clock, Fan,",Twin Double Room
9,"Free toiletries, Shower, Hand Towel, Bathroom, Seating area, Linens, Shoeshine kit, Complimentary tea, Cleaning products, iPod docking station, Desk, Alarm clock, Fan,",Twin Double Room
9,"Free toiletries, Shower, Hand Towel, Bathroom, Seating area, Linens, Shoeshine kit, Complimentary tea, Cleaning products, iPod docking station, Desk, Alarm clock, Fan,",Twin Double Room
9,"Free toiletries, Shower, Hand Towel, Bathroom, Seating area, Linens, Shoeshine kit, Complimentary tea, Cleaning products, iPod docking station, Desk, Alarm clock, Fan,",Twin Double Room
9,"Free toiletries, Shower, Hand Towel, Bathroom, Seating area, Linens, Shoeshine kit, Complimentary tea, Cleaning products, iPod docking station, Desk, Alarm clock, Fan,",Twin Double Room
9,"Free toiletries, Shower, Hand Towel, Bathroom, Seating area, Linens, Shoeshine kit, Complimentary tea, Cleaning products, iPod docking station, Desk, Alarm clock, Fan,",Twin Double Room
9,"Free toiletries, Shower, Hand Towel, Bathroom, Seating area, Linens, Shoeshine kit, Complimentary tea, Cleaning products, iPod docking station, Desk, Alarm clock, Fan,",Twin Double Room
9,"Free toiletries, Shower, Hand Towel, Bathroom, Seating area, Linens, Shoeshine kit, Complimentary tea, Cleaning products, iPod docking station, Desk, Alarm clock, Fan,",Twin Double Room
9,"Free toiletries, Shower, Hand Towel, Bathroom, Seating area, Linens, Shoeshine kit, Complimentary tea, Cleaning products, iPod docking station, Desk, Alarm clock, Fan,",Twin Double Room
9,"Free toiletries, Shower, Hand Towel, Bathroom, Seating area, Linens, Shoeshine kit, Complimentary tea, Cleaning products, iPod docking station, Desk, Alarm clock, Fan,",Twin Double Room
9,"Free toiletries, Shower, Hand Towel, Bathroom, Fire extinguisher, Laptop safe box, Fireplace, Dishwasher, Wake-up service, Washing machine, Free welcome drink, Carbon monoxide detector, Dart board,",Single Room
9,"Free toiletries, Shower, Hand Towel, Bathroom, Fire extinguisher, Laptop safe box, Fireplace, Dishwasher, Wake-up service, Washing machine, Free welcome drink, Carbon monoxide detector, Dart board,",Single Room
9,"Free toiletries, Shower, Hand Towel, Bathroom, Fire extinguisher, Laptop safe box, Fireplace, Dishwasher, Wake-up service, Washing machine, Free welcome drink, Carbon monoxide detector, Dart board,",Single Room
9,"Free toiletries, Shower, Hand Towel, Bathroom, Fire extinguisher, Laptop safe box, Fireplace, Dishwasher, Wake-up service, Washing machine, Free welcome drink, Carbon monoxide detector, Dart board,",Single Room
9,"Free toiletries, Shower, Hand Towel, Bathroom, Fire extinguisher, Laptop safe box, Fireplace, Dishwasher, Wake-up service, Washing machine, Free welcome drink, Carbon monoxide detector, Dart board,",Single Room
9,"Free toiletries, Shower, Hand Towel, Bathroom, Daily housekeeping, Trouser press, Kitchen, Wi-Fi in public areas, Hot tub, DVD/CD player, Extra long bed, Free Wi-Fi in all rooms!, Telephone,",King Bed Room
9,"Free toiletries, Shower, Hand Towel, Bathroom, Daily housekeeping, Trouser press, Kitchen, Wi-Fi in public areas, Hot tub, DVD/CD player, Extra long bed, Free Wi-Fi in all rooms!, Telephone,",King Bed Room
9,"Free toiletries, Shower, Hand Towel, Bathroom, Daily housekeeping, Trouser press, Kitchen, Wi-Fi in public areas, Hot tub, DVD/CD player, Extra long bed, Free Wi-Fi in all rooms!, Telephone,",King Bed Room
9,"Free toiletries, Shower, Hand Towel, Bathroom, Daily housekeeping, Trouser press, Kitchen, Wi-Fi in public areas, Hot tub, DVD/CD player, Extra long bed, Free Wi-Fi in all rooms!, Telephone,",King Bed Room
9,"Free toiletries, Shower, Hand Towel, Bathroom, Daily housekeeping, Trouser press, Kitchen, Wi-Fi in public areas, Hot tub, DVD/CD player, Extra long bed, Free Wi-Fi in all rooms!, Telephone,",King Bed Room
9,"Free toiletries, Shower, Hand Towel, Bathroom, Video game console, Scale, Interconnecting room(s) available, DVD/CD player, Laptop workspace, Carbon monoxide detector, Wardrobe or closet, Clothes rack, Dishwasher, Free bottled water,",Apartments
9,"Free toiletries, Shower, Hand Towel, Bathroom, Video game console, Scale, Interconnecting room(s) available, DVD/CD player, Laptop workspace, Carbon monoxide detector, Wardrobe or closet, Clothes rack, Dishwasher, Free bottled water,",Apartments
9,"Free toiletries, Shower, Hand Towel, Bathroom, Video game console, Scale, Interconnecting room(s) available, DVD/CD player, Laptop workspace, Carbon monoxide detector, Wardrobe or closet, Clothes rack, Dishwasher, Free bottled water,",Apartments
9,"Free toiletries, Shower, Hand Towel, Bathroom, Video game console, Scale, Interconnecting room(s) available, DVD/CD player, Laptop workspace, Carbon monoxide detector, Wardrobe or closet, Clothes rack, Dishwasher, Free bottled water,",Apartments
9,"Free toiletries, Shower, Hand Towel, Bathroom, Video game console, Scale, Interconnecting room(s) available, DVD/CD player, Laptop workspace, Carbon monoxide detector, Wardrobe or closet, Clothes rack, Dishwasher, Free bottled water,",Apartments
10,"Free toiletries, Shower, Hand Towel, Bathroom, Microwave, Bathrobes, High floor, Wi-Fi [charges apply], Alarm clock, Additional toilet, Internet access – wireless, Towels, High Speed Wireless Internet (wifi), Air purifier,",Lanai
10,"Free toiletries, Shower, Hand Towel, Bathroom, Microwave, Bathrobes, High floor, Wi-Fi [charges apply], Alarm clock, Additional toilet, Internet access – wireless, Towels, High Speed Wireless Internet (wifi), Air purifier,",Lanai
10,"Free toiletries, Shower, Hand Towel, Bathroom, Microwave, Bathrobes, High floor, Wi-Fi [charges apply], Alarm clock, Additional toilet, Internet access – wireless, Towels, High Speed Wireless Internet (wifi), Air purifier,",Lanai
10,"Free toiletries, Shower, Hand Towel, Bathroom, Microwave, Bathrobes, High floor, Wi-Fi [charges apply], Alarm clock, Additional toilet, Internet access – wireless, Towels, High Speed Wireless Internet (wifi), Air purifier,",Lanai
10,"Free toiletries, Shower, Hand Towel, Bathroom, Microwave, Bathrobes, High floor, Wi-Fi [charges apply], Alarm clock, Additional toilet, Internet access – wireless, Towels, High Speed Wireless Internet (wifi), Air purifier,",Lanai
10,"Free toiletries, Shower, Hand Towel, Bathroom, Dishwasher, Kitchen, On-demand movies, Mosquito net, Whirlpool bathtub, Additional bathroom, Kitchenware, High Speed Wireless Internet (wifi), LCD / LED Television with Satellite Channels,",Triple Room
10,"Free toiletries, Shower, Hand Towel, Bathroom, Dishwasher, Kitchen, On-demand movies, Mosquito net, Whirlpool bathtub, Additional bathroom, Kitchenware, High Speed Wireless Internet (wifi), LCD / LED Television with Satellite Channels,",Triple Room
10,"Free toiletries, Shower, Hand Towel, Bathroom, Dishwasher, Kitchen, On-demand movies, Mosquito net, Whirlpool bathtub, Additional bathroom, Kitchenware, High Speed Wireless Internet (wifi), LCD / LED Television with Satellite Channels,",Triple Room
10,"Free toiletries, Shower, Hand Towel, Bathroom, Dishwasher, Kitchen, On-demand movies, Mosquito net, Whirlpool bathtub, Additional bathroom, Kitchenware, High Speed Wireless Internet (wifi), LCD / LED Television with Satellite Channels,",Triple Room
10,"Free toiletries, Shower, Hand Towel, Bathroom, Dishwasher, Kitchen, On-demand movies, Mosquito net, Whirlpool bathtub, Additional bathroom, Kitchenware, High Speed Wireless Internet (wifi), LCD / LED Television with Satellite Channels,",Triple Room
10,"Free toiletries, Shower, Hand Towel, Bathroom, Additional bathroom, Washing machine, Complimentary tea, Scale, LCD / LED Television with Satellite Channels, Seating area, Locker, Free welcome drink,",Double Room
10,"Free toiletries, Shower, Hand Towel, Bathroom, Additional bathroom, Washing machine, Complimentary tea, Scale, LCD / LED Television with Satellite Channels, Seating area, Locker, Free welcome drink,",Double Room
10,"Free toiletries, Shower, Hand Towel, Bathroom, Additional bathroom, Washing machine, Complimentary tea, Scale, LCD / LED Television with Satellite Channels, Seating area, Locker, Free welcome drink,",Double Room
10,"Free toiletries, Shower, Hand Towel, Bathroom, Additional bathroom, Washing machine, Complimentary tea, Scale, LCD / LED Television with Satellite Channels, Seating area, Locker, Free welcome drink,",Double Room
10,"Free toiletries, Shower, Hand Towel, Bathroom, Additional bathroom, Washing machine, Complimentary tea, Scale, LCD / LED Television with Satellite Channels, Seating area, Locker, Free welcome drink,",Double Room
10,"Free toiletries, Shower, Hand Towel, Bathroom, Dart board, Fireplace, Mini bar, Washing machine, Mirror, Free Wi-Fi in all rooms!, DVD/CD player, Ironing facilities,",King Bed Room
10,"Free toiletries, Shower, Hand Towel, Bathroom, Dart board, Fireplace, Mini bar, Washing machine, Mirror, Free Wi-Fi in all rooms!, DVD/CD player, Ironing facilities,",King Bed Room
10,"Free toiletries, Shower, Hand Towel, Bathroom, Dart board, Fireplace, Mini bar, Washing machine, Mirror, Free Wi-Fi in all rooms!, DVD/CD player, Ironing facilities,",King Bed Room
10,"Free toiletries, Shower, Hand Towel, Bathroom, Dart board, Fireplace, Mini bar, Washing machine, Mirror, Free Wi-Fi in all rooms!, DVD/CD player, Ironing facilities,",King Bed Room
10,"Free toiletries, Shower, Hand Towel, Bathroom, Dart board, Fireplace, Mini bar, Washing machine, Mirror, Free Wi-Fi in all rooms!, DVD/CD player, Ironing facilities,",King Bed Room
