hotelid,hotelname,hoteltype,destination
67,Hotel Du Sauvage Grindelwald,Business Hotels,Kathmandu
68,Hotel Faber,Business Hotels,Kathmandu
69,Hotel Martinelli,Bed and Breakfast (B&B),Kathmandu
70,Corona Dolomites Hotel,Business Hotels,Kathmandu
71,Seiser Alm Plaza,Suite Hotels,Kathmandu
72,Hotel Tubris,Bed and Breakfast (B&B),Kathmandu
73,Loetje Gorssel,Bed and Breakfast (B&B),Kathmandu
74,Scandic Odense,Resorts,Kathmandu
75,s Lands Welvaren,Bed and Breakfast (B&B),Kathmandu
76,Hotel de Burg,Casino Hotels,Kathmandu
77,Lina Hotel,Suite Hotels,Kathmandu
78,Albergo Fiorenza,Bed and Breakfast (B&B),Kathmandu
79,Hotel Dragului,Resorts,Kathmandu
80,Musciara Siracusa Resort,Resorts,Kathmandu
81,Hotel Monge,Service Apartments,Kathmandu
82,Hotel Pegasus-Adult Friendly,Self-Catering Hotels,Kathmandu
83,Malia Mare Hotel,Suite Hotels,Kathmandu
84,Hotel Alpenrose,Bed and Breakfast (B&B),Kathmandu
85,Christakis,Service Apartments,Kathmandu
86,Frederik VI's Hotel,Service Apartments,Kathmandu
87,Hotel Belvedere,Resorts,Kathmandu
88,Hotel Resort Villa Luisa & Spa,Self-Catering Hotels,Kathmandu
89,Hotel Anna Palace,Service Apartments,Kathmandu
90,Hotel Tirreno,Suite Hotels,Kathmandu
91,Hotel Elite,Casino Hotels,Kathmandu
92,Maison Del Magra,Self-Catering Hotels,Kathmandu
93,Hotel San Teodoro,Business Hotels,Kathmandu
94,Hotel Coral,Resorts,Kathmandu
95,Hotel F6,Self-Catering Hotels,Kathmandu
96,Hotel Tauernglockl,Resorts,Kathmandu
97,Family Hotel Four Seasons Tsarevo,Casino Hotels,Kathmandu
98,Hotel La Jetee,Casino Hotels,Kathmandu
99,Hotel Continental,Casino Hotels,Kathmandu
100,Hotel Solaria,Bed and Breakfast (B&B),Kathmandu
101,Hotel Edelweiss,Service Apartments,Kathmandu
102,Hotel Au Bout Du Monde,Business Hotels,Kathmandu
103,Accessible Hotels  236 accessible hotels,Service Apartments,Bhaktapur
104,Airport Hotel,Service Apartments,Bhaktapur
105,Aloft  Aerocity hotel,Business Hotels,Bhaktapur
106,Amritsar 597 hotels,Business Hotels,Bhaktapur
107,Andaz Delhi Aerocity Concept by Hyatt hotel,Resorts,Bhaktapur
108,bloomrooms @ Janpath hotel,Casino Hotels,Bhaktapur
109,Boutique Hotels  33 boutique hotels,Airport hotel,Bhaktapur
110,Calangute 706 hotels,Airport hotel,Bhaktapur
111,Candolim 458 hotels,Self-Catering Hotels,Bhaktapur
112,Delhi Guest House,Casino Hotels,Bhaktapur
113,Eros Hotel  Nehru Place hotel,Suite Hotels,Bhaktapur
114,Accessible,Self-Catering Hotels,Bhaktapur
115,Airport,Self-Catering Hotels,Bhaktapur
116,Aloft,Business Hotels,Bhaktapur
117,Amritsar,Bed and Breakfast (B&B),Bhaktapur
118,Andaz,Self-Catering Hotels,Bhaktapur
119,bloomrooms,Suite Hotels,Bhaktapur
120,Boutique,Resorts,Bhaktapur
121,Calangute,Service Apartments,Bhaktapur
122,Candolim,Suite Hotels,Bhaktapur
123,Delhi,Resorts,Bhaktapur
124,Eros Hotel  Nehru Place,Suite Hotels,Bhaktapur
125,FabHotel Perfect hotel,Self-Catering Hotels,Bhaktapur
126,Family Hotels  344 family hotels,Bed and Breakfast (B&B),Bhaktapur
127,Gurgaon 1133 hotels,Casino Hotels,Bhaktapur
128,Holiday Inn  International Airport an IHG Hotel hotel,Resorts,Bhaktapur
129,Holiday Inn Express  International Airport T3 an IHG Hotel hotel,Business Hotels,Bhaktapur
130,Hotel  Yes B book hotel,Resorts,Bhaktapur
131,Hotel A L  Delhi Airport hotel,Casino Hotels,Bhaktapur
132,Hotel Aeroporto,Bed and Breakfast (B&B),Bhaktapur
133,Hotel Airport View hotel,Resorts,Bhaktapur
134,HOTEL ALL IZ WELL A Well Hygiene Property hotel,Service Apartments,Bhaktapur
135,Hotel Ark Suites At Airport hotel,Casino Hotels,Bhaktapur
136,Hotel Gauranga Inn hotel,Business Hotels,Bhaktapur
137,Hotel Hari Piorko,Casino Hotels,Bhaktapur
138,Hotel Klick Deluxe at  Railway Station hotel,Self-Catering Hotels,Bhaktapur
139,Hotel Leo Deluxe hotel,Bed and Breakfast (B&B),Bhaktapur
140,Hotel PG International hotel,Airport hotel,Bhaktapur
141,Hotel Samrat,Casino Hotels,Bhaktapur
142,Hotel Stay Inn hotel,Business Hotels,Bhaktapur
143,Hotel the Nilsa hotel,Suite Hotels,Bhaktapur
144,Hotel York Legacy 3 Mutes Walk From  Railway Station 'THE 5 STAR AMBIENCE' NEWLY BUILT hotel,Bed and Breakfast (B&B),Bhaktapur
145,Hotels with Jacuzzis  35 hotels with a jacuzzi,Business Hotels,Bhaktapur
146,Hotels with Pools  52 hotels with pools,Bed and Breakfast (B&B),Bhaktapur
147,Hyderabad 849 hotels,Self-Catering Hotels,Bhaktapur
148,Ibis  International Airport hotel,Bed and Breakfast (B&B),Bhaktapur
150,Kolkata 1009 hotels,Airport hotel,Bhaktapur
151,Lucknow 523 hotels,Airport hotel,Bhaktapur
152,Luxury Hotels  35 luxury hotels,Airport hotel,Bhaktapur
153,Mumbai 1670 hotels,Bed and Breakfast (B&B),Bhaktapur
154,Navi Mumbai 143 hotels,Bed and Breakfast (B&B),Bhaktapur
155,Noida 458 hotels,Suite Hotels,Bhaktapur
156,Novotel  International Airport hotel,Service Apartments,Bhaktapur
157,OYO 27802 Hotel Boom Room hotel,Service Apartments,Bhaktapur
158,Palolem 119 hotels,Casino Hotels,Bhaktapur
159,PetFriendly Hotels  146 petfriendly hotels,Suite Hotels,Bhaktapur
160,Piccadily Hotel,Service Apartments,Bhaktapur
161,Pride Plaza Hotel Aerocity  hotel,Bed and Breakfast (B&B),Bhaktapur
162,Pullman  International Airport hotel,Bed and Breakfast (B&B),Bhaktapur
163,Radisson Blu Hotel  Dwarka hotel,Service Apartments,Bhaktapur
164,Radisson Blu Plaza Delhi Airport hotel,Airport hotel,Bhaktapur
165,Red Fox Hotel Delhi Airport,Suite Hotels,Bhaktapur
166,Roseate House  hotel,Airport hotel,Bhaktapur
167,S B GUEST HOUSE hotel,Business Hotels,Bhaktapur
168,ShangriLa's  Eros Hotel  hotel,Business Hotels,Bhaktapur
169,Silver She   COMFORT STAY hotel,Bed and Breakfast (B&B),Bhaktapur
170,Spa Hotels  83 spa hotels,Casino Hotels,Bhaktapur
171,Taj Palace  hotel,Business Hotels,Bhaktapur
172,The Ashok,Resorts,Bhaktapur
173,The Park,Service Apartments,Bhaktapur
174,The Roseate,Service Apartments,Bhaktapur
175,The Suryaa,Resorts,Bhaktapur
176,Treebo Trend AND,Casino Hotels,Bhaktapur
177,Treebo Tryst KRYC Luxury Livg hotel,Service Apartments,Bhaktapur
178,Vivanta  Dwarka hotel,Bed and Breakfast (B&B),Bhaktapur
179,Welcomhotel by ITC Hotels Dwarka,Suite Hotels,Bhaktapur
